ID,Godzina rozpoczêcia,Godzina ukoñczenia,Adres e-mail,Nazwa,Czas ostatniej modyfikacji,"Masz jakiœ pomys³ na projekt data? Napisz nam o tym. Je¿eli to nie ten moment, pozostaw puste pole.",W jaki sposób chcesz uczestniczyæ w Community?,Programming: R,Programming: Python,Programming: Bash,Version Control: GIT,Containers: Docker,"CLI: (np. Bash, PowerShell, CMD)","Front End: (HTML, JavaScript, CSS)",Databases: SQL,Databases: NoSQL,Cloud: Azure,Cloud: AWS,Cloud: GPC,BI: PowerBI,BI: Tableau,Area: Time Series,"Area: Classical ML (Clustering, Regression, Classification)",Area: NLP,Area: Computer Vision,Project Management,Promocja w Social Media,Ux/Ui,Projektowanie graficzne,Nawi¹zywanie Relacji z Biznesem,Nawi¹zywanie Relacji z naukowcami,Pozyskiwanie finansowania,Wspó³praca z administracj¹ UEW,"Je¿eli jest obszar, na którym siê znasz i chcesz go wykorzystaæ, dopisz go:",FinTech,HealthTech,FashionTech,E-commerce,SportTech,Non-profit,PropTech (nieruchomoœci),Cybersecurity,HR,"Je¿eli pominiêto bran¿ê, na której siê znasz dopisz j¹:"
1,3/5/24 15:25:52,3/5/24 15:33:04,anonymous,,,"Projekt ""data"" bêd¹cy mobiln¹ stacj¹ benzynow¹, umo¿liwiaj¹c¹ zdalne tankowanie na bezobs³ugowych stacjach i organizacjê miesiêcznych kosztów zu¿ycia paliwa.","Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",2,3,3,4,3,4,4,3,3,3,2,2,3,3,2,2,2,2,3,4,4,4,3,3,3,2,,3,2,3,3,3,2,3,2,2,
2,3/5/24 15:29:46,3/5/24 15:35:02,anonymous,,,,Chcê uczestniczyæ w projekcie data,3,3,1,3,2,2,1,4,2,2,1,1,4,1,3,3,2,2,2,3,3,3,2,2,1,1,,2,2,2,2,2,2,2,2,2,
3,3/5/24 15:16:30,3/5/24 15:37:17,anonymous,,,,Chcê uczestniczyæ w projekcie data,0,1,0,1,0,0,0,3,0,0,0,0,2,0,1,3,0,0,3,2,2,2,2,2,2,2,,3,0,0,2,0,1,2,0,0,
4,3/5/24 15:34:17,3/5/24 15:38:01,anonymous,,,,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",3,3,2,2,2,2,1,3,2,2,2,2,2,3,3,3,2,2,2,3,3,3,2,2,2,3,Excel,3,2,2,3,1,3,1,2,1,
5,3/5/24 15:34:26,3/5/24 15:38:20,anonymous,,,Wirtualni doradcy wp³ywaj¹cy na pozytywn¹ zmianê w zachowaniu konsumenta. Np zwiêkszenie sk³onnoœci do oszczêdzania i planowania finansowego.,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",3,3,2,2,2,2,1,3,1,1,2,1,1,3,1,4,3,1,2,1,1,1,4,4,1,3,,3,3,1,1,1,2,1,1,2,LawTech
6,3/5/24 15:25:26,3/5/24 15:42:56,anonymous,,,modelowanie ryzyka kredytowego ,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",1,3,2,2,2,2,2,3,2,2,2,2,2,1,3,2,2,2,3,1,1,1,3,3,3,3,Organizacja eventów,4,2,1,2,1,2,3,2,1,
7,3/5/24 15:38:47,3/5/24 15:43:21,anonymous,,,,Chcê uczestniczyæ w projekcie data,2,3,2,2,2,2,1,3,2,2,2,0,2,2,0,0,0,0,2,1,2,1,2,1,1,1,"Testowanie oprogramowania, proste automaty z u¿yciem selenium.",2,0,1,1,1,2,1,1,1,
8,3/5/24 15:50:55,3/5/24 15:52:28,anonymous,,,,"Póki co chcê czerpaæ, obserwowaæ, ""konsumowaæ content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3/5/24 16:03:01,3/5/24 16:08:52,anonymous,,,,Chcê uczestniczyæ w projekcie data,3,2,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,1,1,1,1,1,1,1,1,,1,1,0,2,0,1,0,1,1,
10,3/5/24 16:34:12,3/5/24 16:38:41,anonymous,,,Analiza ruchu drogowego we Wroc³awiu na podstawie nagrañ z kamer - pozyskanych samodzielnie lub od Gminy Wroc³aw,Chcê uczestniczyæ w projekcie data,1,3,2,2,2,2,2,4,2,3,2,2,4,3,2,3,2,2,3,1,1,1,3,2,2,2,Dr¹¿enie Dancyh (Data Mining),2,2,2,2,2,2,2,2,2,"Life Sciences, trochê siê znam"
11,3/5/24 16:32:10,3/5/24 16:47:31,anonymous,,,"Pomys³u na projekt nie posiadam w tym momencie ale wydajê mi siê, ¿e mo¿na by by³o rozpowszechniæ informacje na temat github student developer pack https://education.github.com/students, a tak¿e aby jeden ze studentów aplikowa³ na campus experta (nastêpna aplikacja w sierpniu) w ca³ej Polsce jest tylko dwóch jeden na PWr prowadzi PWrski (https://wmsdev.pl/) a drugi na WAT",Chcê uczestniczyæ w projekcie data,2,2,1,2,0,2,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,,3,2,1,2,2,2,2,2,1,
